Question|Option A|Option B|Option C|Option D|Correct Index|Explanation
Consider the following statements regarding the Indus Valley Civilization: 1. Sophisticated drainage system. 2. Iron tools were used. 3. Grid-based town planning. |1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|2|Harappans did not use Iron; they were a Bronze Age civilization.
With reference to the Mauryan Empire: 1. Megasthenes mentioned 7 castes. 2. Ashoka's Dhamma was only Buddhism. 3. Arthashastra discusses Saptanga theory.|1 and 3 only|2 only|1, 2 and 3|3 only|0|Ashoka's Dhamma was a moral code, not just Buddhism.
Regarding the Bhakti movement: 1. Emphasized personal devotion. 2. Kabir rejected Vedas. 3. Mirabai was contemporary of Guru Nanak.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Mirabai lived in the 16th century, while Guru Nanak lived in the 15th-16th century, but they aren't strictly contemporaries in all traditions.
Consider statements about Battle of Plassey (1757): 1. Fought against French. 2. Mir Jafar's treachery. 3. Start of British supremacy in Bengal.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|1|It was fought against the Nawab of Bengal, Siraj-ud-Daulah, not the French.
With reference to Government of India Act 1935: 1. All-India Federation. 2. Abolished Dyarchy in provinces. 3. Introduced Dyarchy at Centre.|1 only|1 and 2 only|2 and 3 only|1, 2 and 3|3|All three statements correctly describe the major provisions of the 1935 Act.
Consider the Swadeshi Movement: 1. Triggered by Partition of Bengal. 2. Led by Lal-Bal-Pal. 3. Strictly limited to Bengal.|1 only|1 and 2 only|2 and 3 only|1, 2 and 3|1|Swadeshi movement spread to other parts of India like Punjab and Maharashtra.
Regarding Delhi Sultanate: 1. Iltutmish introduced Silver Tanka. 2. Alauddin introduced Dagh/Chehra. 3. Firoz Tughlaq had a slave department.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|All three Sultans are correctly matched with their specific administrative reforms.
Regarding 1857 Revolt: 1. Lord Canning was Governor-General. 2. Hindu-Muslim unity. 3. Completely successful in overthrowing British.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|The revolt was suppressed by the British and was not successful in its immediate goal.
With reference to Jainism: 1. Mahavira was 1st Tirthankara. 2. Emphasizes Ahimsa. 3. Split into Shvetambaras/Digambaras.|1 and 2 only|2 and 3 only|3 only|1, 2 and 3|1|Rishabhanatha (Adinath) was the 1st Tirthankara, not Mahavira (who was 24th).
Regarding Permanent Settlement 1793: 1. Introduced by Cornwallis. 2. Zamindars were owners. 3. Revenue share fixed forever.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Permanent Settlement fixed the land revenue once and for all in Bengal and Bihar.
Cabinet Mission Plan (1946): 1. Rejected Pakistan demand. 2. Proposed weak centre. 3. Suggested Constituent Assembly.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The Mission aimed for a united India with grouped provinces and a limited centre.
