Question|Option A|Option B|Option C|Option D|Correct Index|Explanation
Consider the 'Lycid' class of meteorites recently in news: 1. They originate from Comet C/1861 G1. 2. They appear to radiate from Lyra constellation.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|The Lyrid meteor shower occurs annually in April and comes from Comet Thatcher.
Regarding the 'State of World Population 2024' report: 1. Released by UNFPA. 2. India's population is estimated at 1.44 billion.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|UNFPA report states India leads globally with 1.44 billion people, followed by China.
With reference to the 'Mount Etna' recently in news: 1. It is located on the island of Sicily, Italy. 2. It is Europe's most active volcano.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Mount Etna is a major active stratovolcano on the east coast of Sicily.
Consider 'Operation Indravati': 1. Launched to evacuate Indians from Haiti. 2. Executed by the Indian Navy only.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|0|India launched Operation Indravati to evacuate its nationals from chaos-hit Haiti.
Regarding 'Agni-V' missile with MIRV technology: 1. MIRV stands for Multiple Independently Targetable Re-entry Vehicle. 2. India is the first country to develop it.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|0|Five other countries (US, UK, Russia, France, China) already have MIRV technology.
Consider 'Bhashini' AI tool: 1. Developed by Ministry of Electronics and IT. 2. Aims to provide real-time translation in Indian languages.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Bhashini is India's AI-led language translation platform for digital inclusion.
With reference to 'Sovereign Green Bonds' (SGrBs): 1. Funds are used for fossil fuel projects. 2. Issued by RBI on behalf of Govt.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|1|SGrBs are used specifically for green infrastructure and environment-friendly projects.
Regarding 'Gaganyaan Mission': 1. India's first human spaceflight mission. 2. Uses LVM3 launch vehicle. 3. Target orbit is 400 km.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Gaganyaan aims to demonstrate human spaceflight capability to Low Earth Orbit.
Consider 'Digital Bharat Nidhi': 1. Replacing the Universal Service Obligation Fund (USOF). 2. Aimed at rural telecom connectivity.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|The Telecommunications Act 2023 renamed USOF as Digital Bharat Nidhi.
With reference to 'Kodaikanal Solar Observatory' (KSO): 1. Completed 125 years in 2024. 2. Located in the Palani Hills, Tamil Nadu.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|KSO is one of the oldest solar observatories in the world, established in 1899.
Regarding 'Clean Energy Transitions Programme': 1. Launched by International Energy Agency (IEA). 2. Focuses on emerging economies.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|The IEA programme helps countries move towards sustainable and clean energy.
Consider 'Project Akashdeep': 1. Related to indigenous development of drones. 2. Launched by Indian Army.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Akashdeep focuses on enhancing the Army's surveillance and combat drone capabilities.
With reference to 'Vadhvan Port': 1. Located in Maharashtra. 2. Set to be India's largest container port.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Vadhvan is a major greenfield port project near Dahanu in Maharashtra.
Regarding 'Coral Bleaching' (2024): 1. Fourth global mass bleaching event declared. 2. Caused by rising ocean temperatures.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|NOAA and ICRI confirmed the widespread bleaching due to record-breaking heat.
Consider 'SIMA' (Smart India Mission): 1. Aims to digitalize agriculture. 2. Launched by Ministry of Agriculture.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|SIMA focuses on using technology for precision farming and farmer welfare.
With reference to 'NATO' (75th Anniversary): 1. Founded in 1949. 2. Sweden became the 32nd member in 2024.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|NATO celebrated its 75th year with Sweden joining as the latest member.
Regarding 'World Wildlife Day 2024': 1. Theme: Connecting People and Planet. 2. Celebrated on March 3rd.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|The day commemorates the signing of CITES in 1973.
Consider 'E-Kuber' platform: 1. Core Banking Solution of RBI. 2. Used for auctioning Govt securities.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|E-Kuber allows commercial banks to maintain accounts and transact with RBI.
With reference to 'India-EFTA' Trade Deal: 1. EFTA includes Iceland, Liechtenstein, Norway, Switzerland. 2. $100 billion investment goal.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|The Trade and Economic Partnership Agreement (TEPA) was signed in March 2024.
Regarding 'T+0 Settlement': 1. Introduced by SEBI on optional basis. 2. Means same-day settlement of stock trades.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|India is the first major market to implement T+0 settlement for selected stocks.
Consider 'AUKUS' partnership: 1. Includes Australia, UK, and USA. 2. Aimed at Indo-Pacific security.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|AUKUS focuses on nuclear-powered submarines and advanced tech sharing.
With reference to 'International Big Cat Alliance' (IBCA): 1. Headquartered in India. 2. Focuses on 7 big cats.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|India launched IBCA to protect Tiger, Lion, Leopard, Snow Leopard, Puma, Jaguar, Cheetah.
Regarding 'Global Gender Gap Report 2024': 1. Released by WEF. 2. India's rank improved slightly.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|World Economic Forum report tracks parity across health, education, economy, and politics.
Consider 'Naku La' sector: 1. Located in Sikkim. 2. Witnessed face-offs between India and China.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Naku La is a high-altitude pass in North Sikkim at the border.
With reference to 'Ujjwala 2.0': 1. Provides free LPG connections to BPL families. 2. Focuses on migrant workers with self-declaration.|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Ujjwala 2.0 simplified the documentation process to reach more beneficiaries.
