कुमाऊँ हिमालय का सबसे ऊँचा शिखर कौन-सा है? / Which is the highest peak of Kumaon Himalayas?|कामेट / Kamet|नंदा देवी / Nanda Devi|त्रिशूल / Trishul|बद्रीनाथ / Badrinath|1|नंदा देवी 7816 मीटर ऊँची है और कुमाऊँ हिमालय की सबसे ऊँची चोटी है। / Nanda Devi at 7816m is the highest peak of Kumaon Himalayas.
निम्नलिखित में से कौन-सी नदी का प्राचीन नाम अस्किनी था? / Which river had the ancient name Askini?|ब्यास / Beas|चिनाब / Chenab|झेलम / Jhelum|रावी / Ravi|1|चिनाब नदी का प्राचीन नाम अस्किनी था। यह पंजाब की पाँच नदियों में से एक है। / Chenab river's ancient name was Askini. It is one of the five rivers of Punjab.
भारत वन स्थिति रिपोर्ट 2023 के अनुसार वनों के अंतर्गत क्षेत्र में देश के शीर्ष तीन राज्य कौन-से थे? / Top three states by forest cover as per India State of Forest Report 2023?|मध्य प्रदेश, झारखंड, छत्तीसगढ़ / MP Jharkhand Chhattisgarh|मध्य प्रदेश, अरुणाचल प्रदेश, छत्तीसगढ़ / MP Arunachal Chhattisgarh|मध्य प्रदेश, अरुणाचल प्रदेश, सिक्किम / MP Arunachal Sikkim|मध्य प्रदेश, महाराष्ट्र, ओडिशा / MP Maharashtra Odisha|1|ISFR 2023 के अनुसार वन क्षेत्र में शीर्ष तीन राज्य मध्य प्रदेश, अरुणाचल प्रदेश और छत्तीसगढ़ हैं। / As per ISFR 2023 top three states are MP, Arunachal Pradesh and Chhattisgarh.
पश्चिमी विक्षोभ के बारे में कथन (a) पछुआ हवाओं से चलते हैं (b) भूमध्यसागर से नमी लाते हैं (c) उत्तर-पश्चिमी भागों में शीत ऋतु में वर्षा / Statements about Western Disturbances (a) driven by westerlies (b) bring moisture from Mediterranean (c) winter rainfall in NW India|केवल (c) / Only c|केवल (a) और (c) / Only a and c|केवल (b) और (c) / Only b and c|(a) (b) और (c) सभी / All a b and c|3|पश्चिमी विक्षोभ पछुआ हवाओं द्वारा भूमध्यसागर से नमी लाकर उत्तर-पश्चिमी भारत में शीतकालीन वर्षा कराते हैं। / Western Disturbances bring moisture from Mediterranean via westerlies causing winter rainfall in NW India.
भारत की सबसे लम्बी झील कौन-सी है? / Which is the longest lake of India?|चिल्का / Chilika|कोल्लेरू / Kolleru|वेम्बनाड / Vembanad|पूकोड / Pookode|2|वेम्बनाड झील केरल में स्थित है और भारत की सबसे लंबी झील है जिसकी लंबाई लगभग 96 किमी है। / Vembanad lake in Kerala is India's longest lake with length of about 96 km.
भारतीय खनिज वर्ष पुस्तक 2022 के अनुसार मैंगनीज उत्पादन में कौन-सा राज्य द्वितीय स्थान पर था? / Which state was second in Manganese production as per Indian Minerals Yearbook 2022?|ओडिशा / Odisha|कर्नाटक / Karnataka|महाराष्ट्र / Maharashtra|मध्य प्रदेश / Madhya Pradesh|3|भारतीय खनिज वर्ष पुस्तक 2022 के अनुसार मैंगनीज उत्पादन में मध्य प्रदेश दूसरे स्थान पर था। / As per Indian Minerals Yearbook 2022 MP was second in Manganese production.
वर्ष 2023-24 में चावल उत्पादन के आधार पर देश के प्रथम चार राज्यों का सही आरोही क्रम कौन-सा था? / Correct ascending order of top 4 rice producing states in 2023-24?|पंजाब, तेलंगाना, उत्तर प्रदेश, पश्चिम बंगाल|पंजाब, पश्चिम बंगाल, उत्तर प्रदेश, तेलंगाना|ओडिशा, तेलंगाना, पंजाब, उत्तर प्रदेश|पश्चिम बंगाल, तेलंगाना, पंजाब, उत्तर प्रदेश|1|2023-24 में चावल उत्पादन में पश्चिम बंगाल प्रथम, उत्तर प्रदेश द्वितीय, पंजाब तृतीय और तेलंगाना चतुर्थ स्थान पर था। / In 2023-24 WB was first, UP second, Punjab third and Telangana fourth in rice production.
अक्टूबर 2025 में किस प्रचंड चक्रवातीय तूफान ने भारत के पूर्वी तटीय भागों को प्रभावित किया? / Which severe cyclone affected eastern coastal India in October 2025?|फेंगल / Fengal|शक्ति / Shakti|मोंथा / Montha|असना / Asna|0|चक्रवात फेंगल ने अक्टूबर 2025 में भारत के पूर्वी तटीय भागों को प्रभावित किया था। / Cyclone Fengal affected eastern coastal parts of India in October 2025.
वर्ष 2011 की जनगणना के अनुसार देश में किस राज्य की जनसंख्या घनत्व न्यूनतम थी? / Which state had lowest population density as per 2011 census?|मेघालय / Meghalaya|मिजोरम / Mizoram|अरूणाचल प्रदेश / Arunachal Pradesh|मणिपुर / Manipur|2|2011 की जनगणना के अनुसार अरुणाचल प्रदेश का जनसंख्या घनत्व मात्र 17 व्यक्ति प्रति वर्ग किमी था। / As per 2011 census Arunachal Pradesh had lowest population density of 17 persons per sq km.
दिसम्बर 2025 तक नवीकरणीय ऊर्जा की स्थापित क्षमता में राज्यों का सही आरोही क्रम कौन-सा था? / Correct ascending order of states by renewable energy installed capacity till December 2025?|गुजरात, राजस्थान, तमिलनाडु, महाराष्ट्र|कर्नाटक, महाराष्ट्र, राजस्थान, गुजरात|तमिलनाडु, महाराष्ट्र, राजस्थान, गुजरात|कर्नाटक, महाराष्ट्र, गुजरात, राजस्थान|2|दिसम्बर 2025 तक नवीकरणीय ऊर्जा क्षमता में राजस्थान प्रथम, गुजरात द्वितीय, कर्नाटक तृतीय स्थान पर था। / Till December 2025 Rajasthan was first, Gujarat second, Karnataka third in renewable energy capacity.
भारतीय संविधान सभा के सदस्यों का निर्वाचन कैसे हुआ था? / How were members of Indian Constituent Assembly elected?|भारत के लोगों द्वारा प्रत्यक्ष रूप से / Directly by people|प्रांतीय विधान सभाओं के सदस्यों द्वारा अप्रत्यक्ष रूप से / Indirectly by provincial assembly members|गवर्नर-जनरल द्वारा नामांकित / Nominated by Governor General|कांग्रेस की प्रादेशिक समितियों द्वारा / By Congress provincial committees|1|संविधान सभा के सदस्य प्रांतीय विधान सभाओं के सदस्यों द्वारा अप्रत्यक्ष रूप से चुने गए थे। / Members of Constituent Assembly were indirectly elected by members of Provincial Legislative Assemblies.
