Question|Option A|Option B|Option C|Option D|Correct Index|Explanation
Consider the following statements about Indus Valley Civilization: 1. It was a Bronze Age civilization. 2. Iron was used for making weapons. 3. Lothal was a dockyard site.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|2|Harappans used Bronze, not Iron. Iron was discovered much later in the Vedic period.
With reference to the Mauryan Empire: 1. Ashoka's Dhamma was a code of conduct. 2. Sanch Stupa was built by Ashoka. 3. Chandragupta Maurya was the founder.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|All statements are historically accurate regarding the Mauryan dynasty.
Regarding the Permanent Settlement of 1793: 1. Introduced by Lord Cornwallis. 2. Zamindars became owners of land. 3. Revenue was fixed forever.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Permanent Settlement (1793) gave ownership to Zamindars with fixed revenue.
Consider the 1857 Revolt in Bihar: 1. Led by Kunwar Singh of Jagdispur. 2. Ara was a major center. 3. The revolt was supported by all Zamindars.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Many Zamindars actually supported the British, though Kunwar Singh fought against them.
With reference to the Bhakti Movement: 1. Kabir was a disciple of Ramananda. 2. It emphasized personal devotion. 3. It rejected the caste system.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Bhakti movement focused on equality and direct connection with God.
Consider the Battle of Plassey (1757): 1. Fought between Siraj-ud-Daulah and Robert Clive. 2. Mir Jafar betrayed the Nawab. 3. It started British rule in India.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The defeat of the Nawab due to treachery laid the foundation of British India.
Regarding the Delhi Sultanate: 1. Iltutmish introduced the Iqta system. 2. Razia Sultan was the first female ruler. 3. Lodhis were of Afghan origin.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|All three are significant facts about the administration and rulers of Delhi Sultanate.
Consider the Government of India Act 1935: 1. Provided for an All-India Federation. 2. Abolished Dyarchy in provinces. 3. Introduced it at the Center.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|This Act was a major step towards the current structure of our Constitution.
With reference to the Gupta Empire: 1. Known as the Golden Age. 2. Samudragupta is called Napoleon of India. 3. Kalidasa was a court poet.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|The Gupta period saw great advancements in art, science, and literature.
Regarding the Swadeshi Movement (1905): 1. Triggered by Bengal Partition. 2. Promoted Indian goods. 3. Led by moderates only.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Extremists like Lal-Bal-Pal played a crucial role in the Swadeshi movement.
Consider the Rig Vedic society: 1. It was patriarchal. 2. Women could attend assemblies. 3. Cow was considered sacred.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|Rig Vedic society was tribal and pastoral where women had a respectful status.
