Question|Option A|Option B|Option C|Option D|Correct Index|Explanation
With reference to the Preamble, consider: 1. It is a source of power to legislature. 2. It is non-justiciable. 3. It was amended only once.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|1|Preamble is not a source of power and was amended by 42nd Act 1976.
Regarding Fundamental Rights: 1. They are absolute. 2. Can be suspended during Emergency except Art 20 & 21. 3. Available against State action only.|1 and 2 only|2 only|2 and 3 only|3 only|1|FRs are not absolute but qualified; Art 20 & 21 can never be suspended.
Consider Directive Principles (DPSP): 1. Borrowed from Irish Constitution. 2. Fundamental in governance. 3. Legally enforceable by courts.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|DPSPs are non-justiciable (not enforceable by courts) but fundamental in governance.
With reference to the President of India: 1. Can be re-elected any number of times. 2. Pardoning power is discretionary. 3. Minimum age is 35 years.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|2|Presidential pardoning power is exercised on the advice of the Council of Ministers.
Regarding Rajya Sabha: 1. It is a permanent body. 2. Vice-President is the ex-officio Chairman. 3. All states have equal representation.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Representation in Rajya Sabha is based on population, so states don't have equal seats.
Consider the Writ of Mandamus: 1. Issued against private individuals. 2. Used to compel public duty. 3. Cannot be issued against President.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|1|Mandamus cannot be issued against private individuals or the President/Governors.
Regarding the Basic Structure Doctrine: 1. Mentioned in the Constitution. 2. Emerged in Kesavananda Bharati case. 3. Limits Parliament's amending power.|1 and 2 only|2 and 3 only|3 only|1, 2 and 3|1|Basic Structure is a judicial innovation and not mentioned in the Constitution.
With reference to Constitutional Amendments: 1. Can be initiated in Rajya Sabha. 2. Joint sitting is available for deadlock. 3. President must give assent.|1 and 3 only|1 and 2 only|2 and 3 only|1, 2 and 3|0|There is no provision for a joint sitting for a Constitutional Amendment Bill.
Consider the Finance Commission: 1. Statutory body. 2. Appointed every 5 years by President. 3. Recommendations are binding.|1 and 2 only|2 only|1 and 3 only|1, 2 and 3|1|It is a Constitutional body (Art 280) and its recommendations are advisory only.
Regarding Anti-Defection Law: 1. Contained in 10th Schedule. 2. Decision lies with the Speaker/Chairman. 3. Speaker's decision is final.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|The Speaker's decision is subject to judicial review (Kihoto Hollohan case).
With reference to Panchayati Raj: 1. 73rd Amendment gave it constitutional status. 2. 1/3 seats reserved for women. 3. Elections conducted by ECI.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Panchayat elections are conducted by the State Election Commission (SEC), not ECI.
Regarding the Supreme Court: 1. Judges appointed by Collegium system. 2. It has Original Jurisdiction over inter-state disputes. 3. Power of Judicial Review.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|3|All three statements correctly describe powers/functions of the Supreme Court.
Consider Emergency Provisions: 1. Financial Emergency never declared. 2. National Emergency requires special majority. 3. President's Rule has no time limit.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|President's Rule must be approved by Parliament every 6 months (max 3 years).
With reference to Fundamental Duties: 1. Added by 42nd Amendment. 2. Enforceable by law. 3. Applicable only to citizens.|1 and 3 only|1 and 2 only|2 and 3 only|1, 2 and 3|0|Fundamental Duties are non-justiciable but can be enforced by specific legislation.
Regarding the Attorney General: 1. Highest law officer. 2. Right to speak in Parliament. 3. Right to vote in Parliament.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Attorney General can speak and participate but has no right to vote in Parliament.
Consider the Sixth Schedule: 1. Administers tribal areas in 4 states (AMTM). 2. Provides for Autonomous District Councils. 3. Includes Nagaland.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|Sixth Schedule applies to Assam, Meghalaya, Tripura, and Mizoram (Nagaland is not included).
With reference to Federalism: 1. Indian system is 'Quasi-federal'. 2. Residuary powers lie with States. 3. Unitary bias during emergency.|1 and 3 only|1 and 2 only|2 and 3 only|1, 2 and 3|0|Residuary powers in India belong to the Centre/Parliament (Article 248).
Regarding Lokpal and Lokayuktas: 1. Anti-corruption ombudsman. 2. President is outside its jurisdiction. 3. Can investigate PM with safeguards.|1 and 3 only|1 and 2 only|2 and 3 only|1, 2 and 3|0|The Prime Minister comes under Lokpal's jurisdiction with certain exceptions/safeguards.
Consider Money Bills: 1. Introduced only in Lok Sabha. 2. Rajya Sabha can only suggest changes. 3. President can return it for reconsideration.|1 and 2 only|2 and 3 only|1 and 3 only|1, 2 and 3|0|President cannot return a Money Bill; he must either give assent or withhold it.
With reference to Citizenship: 1. Dual citizenship is allowed. 2. Parliament has power to regulate it. 3. Citizenship can be lost by renunciation.|2 and 3 only|1 and 2 only|1 and 3 only|1, 2 and 3|0|India provides for Single Citizenship only; dual citizenship is not allowed.
Regarding Election Commission: 1. Multi-member body. 2. CEC has more power than other ECs. 3. Removal of CEC is like SC Judge.|1 and 3 only|1 and 2 only|2 and 3 only|1, 2 and 3|0|CEC and other ECs have equal powers/salary; CEC just acts as a chairman.
Consider the Comptroller and Auditor General (CAG): 1. Guardian of public purse. 2. Holds office during pleasure of President. 3. Reports to Parliament.|1 and 3 only|1 and 2 only|2 and 3 only|1, 2 and 3|0|CAG does not hold office during pleasure; has a fixed tenure like an SC Judge.
With reference to Joint Sitting: 1. Summoned by the Speaker. 2. Presided by the Speaker. 3. Applicable to Ordinary Bills only.|2 and 3 only|1 and 2 only|1 and 3 only|1, 2 and 3|0|Joint sitting is summoned by the President, though presided by the Speaker.
Regarding GST Council: 1. Constitutional body. 2. Chaired by PM. 3. Decisions by 3/4th majority.|1 and 3 only|1 and 2 only|2 and 3 only|1, 2 and 3|0|GST Council is chaired by the Union Finance Minister, not the PM.
Consider the National Human Rights Commission (NHRC): 1. Constitutional body. 2. Can recommend compensation. 3. Chairman must be a retired CJI/Judge.|2 and 3 only|1 and 2 only|1 and 3 only|1, 2 and 3|0|NHRC is a statutory body (created by law), not a constitutional one.
