Question|Option A|Option B|Option C|Option D|Correct Index|Explanation
Who led the 1857 Revolt against the British from Ara, Bihar? |Kunwar Singh|Amar Singh|Pir Ali|Hare Krishna Singh|0|80-year-old Veer Kunwar Singh of Jagdispur (Ara) led the revolt.
The famous 'Aranya Devi Temple' is located in which district of Bihar?|Patna|Bhojpur (Ara)|Buxar|Rohtas|1|Aranya Devi is the presiding deity of Ara town in Bhojpur district.
In which year was the 'Bhojpur' district officially created by carving it out of Shahabad?|1972|1991|1956|2000|0|Old Shahabad district was divided into Bhojpur and Rohtas in 1972.
Which famous Jain temple, known for its ancient inscriptions, is located near Ara?|Masarh|Jalmandir|Pawapuri|Maner|0|Masarh near Ara has ancient Jain temples and is linked to Banasur.
The 'Ara Canal', one of the oldest in Bihar, takes water from which river?|Ganga|Sone|Gandak|Kosi|1|The Sone Canal system, including the Ara canal, was developed by the British.
Which among the following was the birthplace of Veer Kunwar Singh?|Arrah Town|Jagdispur|Behea|Piro|1|Kunwar Singh was born in the royal Ujjainiya Rajput family of Jagdispur.
Consider: 1. Ara was part of the ancient Magadha Empire. 2. It was a strategic point during British rule. Which is correct?|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Ara has been historically significant from Magadha times to the British era.
The 'Little House' or 'Ara House', famous for the 1857 siege, is located in the premises of?|Maharaja College|Civil Court|Ramna Maidan|Railway Station|0|The historic 'Ara House' is located within the Maharaja College campus.
Who was the younger brother of Veer Kunwar Singh who continued the struggle after him?|Amar Singh|Hare Krishna Singh|Nishant Singh|Gulab Singh|0|Amar Singh led the guerrilla warfare in the hills of Kaimur after Kunwar Singh.
Ara is situated between which two major rivers?|Ganga and Gandak|Ganga and Sone|Sone and Punpun|Ganga and Karmanasa|1|Bhojpur (Ara) is bounded by the Ganga on the North and Sone on the East.
Which famous mathematician, known for 'Vashishtha's Theorem', belonged to Bhojpur?|Vashishtha Narayan Singh|Aryabhatta|Brahmagupta|Anand Kumar|0|Dr. Vashishtha Narayan Singh was born in Basantpur village of Bhojpur.
The 'Sone River Bridge' connecting Ara and Patna (at Koilwar) is named after?|Abdul Bari|Kunwar Singh|Rajendra Prasad|Jawaharlal Nehru|0|The historic Koilwar bridge is named after the freedom fighter Abdul Bari.
Which language is predominantly spoken in the Ara-Bhojpur region?|Maithili|Magahi|Bhojpuri|Angika|2|Bhojpur is the heartland of the Bhojpuri language.
Consider: 1. Ara witnessed a major communal riot in 1917. 2. It was a center of the Quit India Movement. Which is true?|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Ara has a complex socio-political history involving both movements.
The 'Maharaja College' in Ara was established by the ruler of?|Jagdispur|Dumraon|Hathwa|Bettiah|1|The Maharaja of Dumraon established this premier institution in 1954.
In terms of agriculture, Ara (Bhojpur) is majorly known for the production of?|Litchi|Rice (Sona Masuri)|Tobacco|Makhana|1|Bhojpur is part of the 'Rice Bowl' of Bihar due to Sone canal irrigation.
Which ancient site near Ara is associated with the 'Ujjainiya' Rajputs?|Jagdispur Fort|Bihiya|Udwantnagar|Shahpur|0|Jagdispur was the stronghold of the Ujjainiya clan in Bihar.
The 'Battle of Buxar' (1764) had deep impacts on the neighboring region of?|Ara|Purnia|Katihar|Supaul|0|Buxar and Ara (Shahabad region) were strategically linked during British expansion.
Which rail-road bridge connects Ara to Saran (Chhapra)?|Digha Bridge|Veer Kunwar Singh Setu|Rajendra Setu|Mahatma Gandhi Setu|1|The Veer Kunwar Singh Setu (Arrah-Chhapra Bridge) connects these two districts.
Who among the following from Ara served as the Speaker of Lok Sabha?|Bali Ram Bhagat|Meira Kumar|Jagjivan Ram|Rabi Ray|0|Bali Ram Bhagat, born in the region, served as the Speaker of Lok Sabha.
The headquarters of the Bhojpur district is?|Behea|Jagdispur|Ara|Piro|2|Ara is the administrative headquarters of Bhojpur district.
What is the historical name of the region comprising Ara and Buxar?|Mithila|Shahabad|Anga|Magadha|1|Until 1972, Ara was part of the larger Shahabad district.
Which festival is celebrated with greatest fervor in Ara, similar to the rest of Bihar?|Durga Puja|Chhath Puja|Holi|Diwali|1|Chhath Puja is the most significant cultural festival in the region.
The 'Koilwar Bridge' over Sone river was inaugurated in which year during British rule?|1862|1905|1947|1920|0|One of the oldest steel bridges in India, it was opened in 1862.
Consider: 1. Ara is a major junction on the East Central Railway. 2. It connects Patna to Varanasi. Which is true?|1 only|2 only|Both 1 and 2|Neither 1 nor 2|2|Ara Junction is a key station on the Delhi-Howrah main line via Patna.
